id,name,category_primary,region,current_lat,current_lon,gt_lat,gt_lon,gt_confidence,gt_reasoning,gt_model,full_address,offset_haversine_m,offset_euclidean_m,offset_manhattan_m
08f275802b50211203f9d9bc9df97762,Milio's Sandwiches,sandwich_shop,WI,43.0983566,-89.3570182,43.09831743017105,-89.35712548786982,0.9,"The pin should be placed closer to the main entrance of Milio's Sandwiches, which is visible facing the street. The current pin is too centered and does not accurately reflect the storefront location.",gpt-4o-mini,"2202 E Johnson St, Madison, WI, 53704-4922, US",9.739165836713918,9.750120564900586,13.08115886543155
08f29a42b04f362b033906064c2fd0ef,El Camino Preschool,day_care_preschool,CA,33.1903375,-117.3485506,33.19038239228334,-117.34865788786982,0.8,"The pin should be placed closer to the main entrance of El Camino Preschool, which appears to be on the side facing California St. The current pin is too centered and does not accurately reflect the entrance location.",gpt-4o-mini,"2002 California St, Oceanside, CA, 92054-5673, US",11.161988765595163,11.174543902753289,14.992224382836607
08f28320ec3226580341f3559baa4b57,The Sisters Secret Cove: Vintage Garden Decor,used_vintage_and_consignment,CA,38.94306,-121.09782,38.94306,-121.09782,0.9,"The current pin location appears to be at the center of the property, which is likely the correct location for the business's main entrance or storefront facing the street.",gpt-4o-mini,"3045 Grass Valley Hwy, Auburn, CA, 95602-2501, US",0.0,0.0,0.0
08f26199718ee09803fa3523ec4bb6d7,Camp Kateri Tekakwitha,campground,NE,40.7269507,-97.5909377,40.7269507,-97.5909377,1.0,"The current pin location appears to be at the center of the campground, which aligns with the main access point for visitors.",gpt-4o-mini,"1305 Road 3, McCool Junction, NE, 68401-8034, US",0.0,0.0,0.0
08f28843989708a803d12abc8c89a07c,Anderson Law Center,lawyer,ID,43.617901,-116.2050359,43.617901,-116.2050359,0.9,"The current pin location appears to be at the center of the building, which is likely the main entrance for the Anderson Law Center.",gpt-4o-mini,"205 N 10th St, Boise, ID, 83702-5761, US",0.0,0.0,0.0
08f2a924959628cd03f6694fef5aca80,Industrial Bolting,wholesale_store,IN,40.0310058,-86.1378252,40.0310058,-86.1378252,0.9,"The current pin location appears to be at the center of the building, which is likely the main entrance for the wholesale store.",gpt-4o-mini,"16815 Southpark Dr, Westfield, IN, 46074-8898, US",0.0,0.0,0.0
08f2aaa84636d40303c03a120f5005e4,Dairy Queen (Treat),ice_cream_shop,VA,39.044689,-77.4761014,39.04477232564702,-77.47620868786983,0.8,"The pin should be placed closer to the storefront of Dairy Queen, which is likely facing the parking lot and the main road. The current pin is too centered on the building's roof.",gpt-4o-mini,"44050 Ashburn Shopping Plz, Ashburn, VA, 20147-7916, US",13.103235213854228,13.117973886663224,18.551616581374425
08f2a92d8dd049a1037a554a7fba4de1,Beast Custom Athletic Printing,screen_printing_t_shirt_printing,IN,40.4203688,-85.6536107,40.4203688,-85.6536107,0.9,"The current pin location appears to be at the center of the property, which is likely the main entrance for the business.",gpt-4o-mini,"418 W 5th St, Fairmount, IN, 46928-1320, US",0.0,0.0,0.0
08f446c1763a845b032f80ded1ab6217,Law Office Of Ryan Snider,personal_injury_law,TX,29.526496,-95.1961679,29.526496,-95.1961679,0.9,"The current pin location appears to be at the center of the building, which is likely the main entrance for the law office.",gpt-4o-mini,"699 S Friendswood Dr, Friendswood, TX, 77546-4579, US",0.0,0.0,0.0
08f2ab38e6c9560403b1b8b59c797291,type + design,graphic_designer,OH,41.5008204,-81.681165,41.5008204,-81.681165,1.0,"The current pin location appears to be at the center of the building, which is appropriate for a graphic design business, as it likely represents the main entrance or storefront facing the street.",gpt-4o-mini,"1422 Euclid Ave, Cleveland, OH, 44115-1901, US",0.0,0.0,0.0
