id,name,category_primary,region,tier,tier_label,current_lat,current_lon,gt_lat,gt_lon,gt_confidence,gt_reasoning,gt_model,full_address,offset_haversine_m,offset_euclidean_m,offset_manhattan_m
08f2ad3134369cb503e5d80b8183b0be,Angus Steakhouse and Seafood,steakhouse,NC,1,standard_commercial,33.8863074,-78.5654993,33.8863074,-78.5654993,1.0,"The current pin is already at the main customer entrance of the Angus Steakhouse and Seafood, as it is positioned at the storefront door facing the street.",gpt-4o-mini,"9887 Oak St, Calabash, NC, 28467-2729, US",0.0,0.0,0.0
08f2a100d3c186d9036d7bd6151c722d,"Stuyvesant Town - C,C, and E's",accommodation,NY,1,standard_commercial,40.7307523,-73.9757363,40.7307523,-73.9757363,1.0,"The current pin is already at the main customer entrance of Stuyvesant Town - C,C, and E's, which is facing the street.",gpt-4o-mini,"2 Stuyvesant Oval, New York, NY, 10009-2111, US",0.0,0.0,0.0
08f26a23b68ce9ac039c14ba0034ee94,Black Beach Campground,campground,,3,open_space,42.5336824,-106.7135065,42.53376145829099,-106.7130773485207,0.8,"The pin is placed near the main access road leading to the campground, which appears to be the most prominent entry point for visitors.",gpt-4o-mini,"24025 Lakeshore Dr, 82620, US",36.24570876780945,36.28647836489651,44.00382248503319
08f266d4ab0b32ec0336b71a6d97cac2,Molly Monkey Kid Furniture,furniture_store,KY,1,standard_commercial,38.2479517,-85.5375372,38.2479517,-85.5375372,1.0,"The current pin is already located at the main customer entrance of Molly Monkey Kid Furniture, as it is positioned at the storefront door facing the street.",gpt-4o-mini,"11809 Shelbyville Rd, Middletown, KY, 40243-1414, US",0.0,0.0,0.0
08f2a32a5ed9ac5b035f0d5abdfc0be1,Chocksett Inn,hotel,MA,1,standard_commercial,42.4522108,-71.750479,42.4522108,-71.750479,1.0,"The current pin is already at the main entrance of Chocksett Inn, which is the correct location for customer access.",gpt-4o-mini,"59 Laurelwood Rd, Sterling, MA, 01564-2220, US",0.0,0.0,0.0
08f26d14154e956d03e9a58662ea3499,Techline Inc,software_development,TX,4,no_building,35.0460565,-101.9186604,35.0460565,-101.9186604,0.3,No dedicated commercial structure is visible; the area appears to have industrial and residential buildings.,gpt-4o-mini,"16005 Interstate 27, Amarillo, TX, 79119-2545, US",0.0,0.0,0.0
08f2aac3a8790a890396d9e4dedb38c2,Scott & Scott Attorneys,personal_injury_law,MD,4,no_building,39.6079848,-75.8292682,39.6079848,-75.8292682,0.3,No dedicated commercial structure is visible at the provided address; it appears to be a residential area or home-based business.,gpt-4o-mini,"109 E Main St, Elkton, MD, 21921, US",0.0,0.0,0.0
08f44130134903ae0304765081aff4ad,The Ritz-Carlton Residences,accommodation,FL,1,standard_commercial,26.3992911,-81.8367405,26.3992911,-81.8367405,1.0,"The current pin is already at the main customer entrance of The Ritz-Carlton Residences, as it is positioned at the storefront door facing the street.",gpt-4o-mini,"5000 Coconut Rd, Bonita Springs, FL, 34134-7233, US",0.0,0.0,0.0
08f29ad1b64734710366678e3274b867,Reel Teez,screen_printing_t_shirt_printing,CA,1,standard_commercial,35.3914698,-120.6082845,35.3914698,-120.6082845,1.0,"The current pin is already at the entrance of the building, which is the correct location for the main customer entrance.",gpt-4o-mini,"22380 El Camino Real, Santa Margarita, CA, 93453-8628, US",0.0,0.0,0.0
08f2a306d84b18140308388e4e26e6b7,SMART Event Planning,event_planning,MA,4,no_building,42.2965847,-71.4207216,42.2965847,-71.4207216,0.3,No dedicated commercial structure is visible at the address; it appears to be a residential area.,gpt-4o-mini,"29 Stonybrook Rd, Framingham, MA, 01702-5943, US",0.0,0.0,0.0
08f29a560d130b80034b216100afc4d5,"The Law Firm of Bezaire, Ledwitz & Associates, APC",wills_trusts_and_probate,CA,4,no_building,33.80429,-118.335922,33.80429,-118.335922,0.3,No dedicated commercial structure is visible at the provided address; the area appears to be a mix of parking lots and residential buildings.,gpt-4o-mini,"609 Deep Valley Dr Ste 200, Rolling Hills Estates, CA, 90274, US",0.0,0.0,0.0
08f2a8a4598a01840363fdd76633d115,Kents Cabin,cabin,,3,open_space,36.8582897,-80.8616279,36.85837554333581,-80.8616279,0.8,"The pin is placed near the main access point where the road intersects with the area, indicating a likely entrance to the cabin or campground.",gpt-4o-mini,"State Rte 700, 24360, US",9.545343428912002,9.556080142414771,9.556080142414771
08f2a16a2d3a516203948095e0ec75da,Ready Coffee,coffee_shop,NY,1,standard_commercial,41.6137494,-73.913437,41.6137494,-73.913437,1.0,"The current pin is already at the entrance of Ready Coffee, as it is positioned at the storefront door facing the street.",gpt-4o-mini,"1810 South Rd, Poughkeepsie, NY, 12590-1369, US",0.0,0.0,0.0
08f29a014a20654203fe2326a9b77f45,Moxie Pest Control Riverside,pest_control_service,CA,4,no_building,33.9469378,-117.4471996,33.9469378,-117.4471996,0.3,No dedicated commercial structure is visible; the area appears to be a mix of commercial and industrial buildings without a clear storefront for the pest control service.,gpt-4o-mini,"6985 Arlington Ave, Riverside, CA, 92503-1516, US",0.0,0.0,0.0
08f2a10705db24e0033586123c08a3a0,Ramada Jersey City,hotel,NJ,1,standard_commercial,40.7329772,-74.0676626,40.7329772,-74.0676626,1.0,"The current pin is already at the main customer entrance of the Ramada Jersey City, as it is positioned at the storefront door facing the street.",gpt-4o-mini,"65 Tonnelle Ave, Jersey City, NJ, 07306-5412, US",0.0,0.0,0.0
08f2a14255ba90f5034ab52b6d5f806a,Quality Inn East Haven - New Haven,resort,CT,1,standard_commercial,41.285284,-72.877898,41.285284,-72.877898,1.0,"The current pin is already at the main customer entrance of the Quality Inn East Haven, as it is positioned at the storefront door facing the street.",gpt-4o-mini,"30 Frontage Rd, East Haven, CT, 06512, US",0.0,0.0,0.0
08f2661b70a52b9e034ad51cf4519629,"His Place Eatery - Chicken & Waffle, Ribs, and Soul Food",southern_restaurant,IN,1,standard_commercial,39.8113638,-86.0469023,39.811446213880146,-86.0464731485207,0.9,"The pin is placed at the main entrance of His Place Eatery, which is visible on the street-facing facade. The entrance is marked by signage and a door opening, making it the appropriate location for customer access.",gpt-4o-mini,"6916 E 30th St, Indianapolis, IN, 46219-1105, US",37.784140721447564,37.82664076589196,45.87154368818945
08f26d152e72055003a8ef8141d48a85,Four States Recycling,garbage_collection_service,TX,4,no_building,35.221107,-101.790421,35.221107,-101.790421,0.3,No dedicated commercial structure is visible; the area appears to be an empty lot or industrial site.,gpt-4o-mini,"4110 E Amarillo Blvd, Amarillo, TX, 79107-5703, US",0.0,0.0,0.0
08f2884389254cd5031cd0ed10ad7793,Eden Tree Works,christmas_trees,ID,1,standard_commercial,43.6322242,-116.3158112,43.6322242,-116.3158112,1.0,"The current pin is already at the entrance of the building, which is the correct location for the main customer entrance.",gpt-4o-mini,"10722 W Excalibur St, Boise, ID, 83713, US",0.0,0.0,0.0
08f262cd5382999a03ba3cdd16e0ad01,Americas Best Value Inn Burnsville Minneapolis,resort,MN,1,standard_commercial,44.7692070007324,-93.2917327880859,44.7692070007324,-93.2917327880859,1.0,"The current pin is already at the main customer entrance of the Americas Best Value Inn Burnsville Minneapolis, as it is positioned at the storefront door facing the street.",gpt-4o-mini,"1101 W Burnsville Pkwy, Burnsville, MN, 55337, US",0.0,0.0,0.0
