pilot_source,id,name,category_primary,region,tier_label,place_complexity,pin_ambiguity,gt_confidence,offset_haversine_m,should_move,current_lat,current_lon,gt_lat,gt_lon,full_address,gt_reasoning,manual_review_status,manual_should_move,manual_primary_pin_type,manual_needs_multi_pin,manual_notes,tier,gt_model,offset_euclidean_m,offset_manhattan_m
high_offset,08f44f082e49c142032785383719bd54,Starke / Gainesville N.E. KOA Holiday,campground,FL,open_space,complex,high,0.9,41.35495388334864,True,29.93105,-82.11921,29.93067808596461,-82.11921,"1475 S Walnut St, Starke, FL, 32091, US","The pin is placed at the main access point near the entrance of the campground, which is visible from the road and serves as the primary entry for visitors.",ambiguous,true,vehicle_entry,true,"Open-space place; main vehicle access, gate, parking, trailhead, and area center may differ.",3,gpt-4o-mini,41.40147041931172,41.40147041931172
high_offset,08f2661a16c4a6de0394c2b997482f2a,Subway,sandwich_shop,IN,standard_commercial,simple,low,0.9,37.810035952121886,True,39.7642293,-86.3254779,39.76431177036216,-86.3250487485207,"9210 Rockville Rd, Indianapolis, IN, 46234-2669, US","The pin is placed at the main customer entrance of the Subway storefront, which is visible on the street-facing facade.",wrong_target,true,pedestrian_entry,false,High-offset standalone place; main customer entrance is the likely target if imagery confirms.,1,gpt-4o-mini,37.85256512388892,45.90298158883199
high_offset,08f489c00919806c0318e6399bbfe89e,Raising Cane's,fast_food_restaurant,TX,standard_commercial,simple,low,0.9,42.76547408433225,True,29.6078088,-98.5972183,29.60790207903544,-98.5967891485207,"17518 La Cantera Pkwy, San Antonio, TX, 78257-8202, US","The pin is placed at the main customer entrance of Raising Cane's, which is visible on the street-facing facade. The entrance is located towards the right side of the building in the image.",wrong_target,true,pedestrian_entry,false,High-offset standalone place; main customer entrance is the likely target if imagery confirms.,1,gpt-4o-mini,42.81357718968179,51.91909190946724
high_offset,08f441ad446d54200323a1a9871a5d0d,Pinch A Penny Pool Patio Spa,hot_tubs_and_pools,FL,multi_tenant,simple,low,0.9,43.52161776438841,True,27.773071,-82.38952,27.77316592831571,-82.38909084852071,"6508 N US Highway 41, Apollo Beach, FL, 33572, US","The specific unit for 'Pinch A Penny Pool Patio Spa' is located towards the right side of the building complex, closer to the highway, based on the address provided.",ambiguous,true,pedestrian_entry,true,Multi-tenant or unit-level place; storefront confirmation is needed.,2,gpt-4o-mini,43.57057139019508,52.83708208100597
high_offset,08f275264c1acc110396d2360d5a93e9,Chipotle Mexican Grill,mexican_restaurant,MN,standard_commercial,simple,low,0.9,34.814880080332145,True,44.9445211,-92.90479,44.94459703740301,-92.90436084852072,"9965 Hudson Pl, Woodbury, MN, 55125-4928, US","The pin is placed at the main customer entrance of Chipotle Mexican Grill, which is located on the street-facing facade. The entrance is identifiable by the signage and door opening visible in the imagery.",wrong_target,true,pedestrian_entry,false,High-offset standalone place; main customer entrance is the likely target if imagery confirms.,1,gpt-4o-mini,34.85404026545616,42.266736150892925
high_offset,08f27524c944cd4203c3ede38868a31b,Chanticlear Pizza,pizza_restaurant,MN,standard_commercial,simple,low,0.9,34.64501123647483,True,45.223939,-93.3982248,45.22401456688929,-93.3977956485207,"440 Bunker Lake Blvd NW, Anoka, MN, 55303-1040, US","The pin is placed at the main customer entrance of Chanticlear Pizza, which is located on the street-facing facade. The entrance is identifiable by signage and door openings.",wrong_target,true,pedestrian_entry,false,High-offset standalone place; main customer entrance is the likely target if imagery confirms.,1,gpt-4o-mini,34.68398035032444,42.06050821183398
high_offset,08f288423356c91103ca007f24b8f280,Cafe Rio Fresh Modern Mexican,fast_food_restaurant,ID,standard_commercial,multi_tenant,medium,0.9,35.60710986864784,True,43.62281,-116.35383,43.62288766539499,-116.3534008485207,"3243 E Village Dr Ste 100, Meridian, ID, 83646, US","The pin is placed at the main customer entrance facing the street, which is identifiable by the storefront door and signage.",ambiguous,true,pedestrian_entry,true,Multi-tenant or unit-level place; storefront confirmation is needed.,1,gpt-4o-mini,35.647161164238995,43.22853651109785
high_offset,08f489e2cebb50730394e44b647c25dc,Texas Backyard Structures,outdoor_gear,TX,standard_commercial,simple,low,0.9,42.36690225662867,True,30.5343646,-97.5908328,30.53445700968118,-97.5904036485207,"108 Benelli Dr, Hutto, TX, 78634-2070, US","The pin is placed at the main customer entrance facing the street, which is identifiable by the door and signage on the building's facade.",wrong_target,true,pedestrian_entry,false,High-offset standalone place; main customer entrance is the likely target if imagery confirms.,1,gpt-4o-mini,42.41455704487735,51.43520897167771
high_offset,08f265572ba4821c032d0f0791c0d791,"Hearing Aid Consultants, LLC",hearing_aids,MO,standard_commercial,simple,low,0.9,38.466640173449456,True,38.5530126,-92.194348,38.55309650253066,-92.19391884852072,"315 Ellis Blvd, Jefferson City, MO, 65101, US","The pin is placed at the main entrance of the Hearing Aid Consultants, LLC, which is visible on the street-facing facade. The entrance is marked by signage and a door opening, making it the appropriate location for customer access.",wrong_target,true,pedestrian_entry,false,High-offset standalone place; main customer entrance is the likely target if imagery confirms.,1,gpt-4o-mini,38.50990790011229,46.70012676060422
high_offset,08f44a184276e6a60364e66d2e3f7fd9,Flowers,flowers_and_gifts_shop,FL,standard_commercial,simple,low,0.9,44.32710656578003,True,25.6869535,-80.4175525,25.68705018522592,-80.4171233485207,"8547 SW 137th Ave, Miami, FL, 33183-4075, US","The pin is placed at the main entrance of the Flowers shop, which is visible on the street-facing facade. The entrance is marked by signage and a door opening, making it the appropriate location for customer access.",wrong_target,true,pedestrian_entry,false,High-offset standalone place; main customer entrance is the likely target if imagery confirms.,1,gpt-4o-mini,44.37696621353703,53.8149792724552
high_offset,08f2a9dac8286a54032f3c8132bc29e9,New River Hideaways,holiday_rental_home,WV,open_space,simple,low,0.8,39.03942026959968,True,37.4695715,-80.8257251,37.46965665186401,-80.8252959485207,"371 Shumate Rd, Peterstown, WV, 24963-9296, US","The pin is placed near the main access point visible from the road, which appears to be the most prominent entry to the area.",ambiguous,true,vehicle_entry,true,"Open-space place; main vehicle access, gate, parking, trailhead, and area center may differ.",3,gpt-4o-mini,39.08333226719558,47.39550591056268
high_offset,08f279a0d2a9ace503c8225af210ef6a,Dead Indian Campground,campground,,open_space,complex,high,0.9,33.88776467894872,True,44.7532456,-109.4176892,44.75294084001048,-109.4176892,"2056 WY-296, 82414, US","The pin should be placed at the main access point, which is the parking lot entrance visible near the road. This location is where visitors would first arrive.",ambiguous,true,vehicle_entry,true,"Open-space place; main vehicle access, gate, parking, trailhead, and area center may differ.",3,gpt-4o-mini,33.92588203317587,33.92588203317587
high_offset,08f26c82b444abad03b61053ffc9f114,Resae's Pieces of Vintage,shopping,TX,multi_tenant,simple,low,0.9,41.2473622296562,True,33.011185,-96.7066184,33.01127496776997,-96.7061892485207,"800 N Central Expy, Plano, TX, 75074-6736, US","The pin needs to be placed at the specific storefront entrance of 'Resae's Pieces of Vintage' within the multi-tenant building, which is located towards the right side of the building in the image.",ambiguous,true,pedestrian_entry,true,Multi-tenant or unit-level place; storefront confirmation is needed.,2,gpt-4o-mini,41.29375774612652,50.076040331573815
high_offset,08f268c6e426b2ec03481f4dbbc3f221,Mr Pollo,chicken_restaurant,CO,standard_commercial,simple,low,0.9,38.31546710039588,True,38.8346867,-104.7614095,38.83477027279579,-104.7609803485207,"124 Delaware Dr, Colorado Springs, CO, 80909, US","The pin is placed at the main customer entrance of Mr Pollo, which is located on the street-facing facade. The imagery shows the entrance clearly, making it the appropriate location for the pin.",wrong_target,true,pedestrian_entry,false,High-offset standalone place; main customer entrance is the likely target if imagery confirms.,1,gpt-4o-mini,38.35856478685444,46.51659628614323
high_offset,08f2aa8c5c2ada18039edc2f54a7b25e,The Olive Tree,italian_restaurant,MD,standard_commercial,simple,low,0.9,38.12753044974332,True,39.182481,-76.6126043,39.182564162873135,-76.6121751485207,"7005 Governor Ritchie Hwy, Glen Burnie, MD, 21061-2901, US","The pin is placed at the main entrance of The Olive Tree, which is located on the street-facing facade. The entrance is identifiable by the door and signage visible in the imagery.",wrong_target,true,pedestrian_entry,false,High-offset standalone place; main customer entrance is the likely target if imagery confirms.,1,gpt-4o-mini,38.17041674297989,46.28843327907182
