id,name,category_primary,region,tier,tier_label,sub_tier,sub_tier_label,current_lat,current_lon,gt_lat,gt_lon,gt_confidence,gt_reasoning,gt_model,pedestrian_entry_lat,pedestrian_entry_lon,pedestrian_entry_confidence,car_entry_lat,car_entry_lon,car_entry_confidence,car_entry_reasoning,entry_mode,cv_gt_lat,cv_gt_lon,cv_confidence,cv_model,cv_disagreement_m,full_address,offset_haversine_m,offset_euclidean_m,offset_manhattan_m,place_complexity,pin_ambiguity,should_move
08f446c041453459034ce664dbae1479,Watermill Express,water_supplier,TX,1,standard_commercial,1c,small_urban_storefront,29.7683311,-95.2338469,29.7683311,-95.2338469,1.0,"The current pin is already at the main customer entrance of Watermill Express, which is the storefront door facing the street.",gpt-4o-mini,29.7683311,-95.2338469,1.0,29.7683311,-95.2338469,0.2,The property appears to be a pedestrian-only urban storefront with no visible driveway or parking lot entry from the road.,shared,,,,,,"1240 Holland St, Jacinto City, TX, 77029, US",0.0,0.0,0.0,simple,low,False
08f2a8455a6e4af0036ded65642fa88c,Ventresca & Ventresca LLP,immigration_law,PA,4,no_building,4,no_building,40.6149963,-80.0605726,40.6149963,-80.0605726,0.3,No dedicated commercial structure is visible at the address; it appears to be a residential area or home-based business.,gpt-4o-mini,,,,,,,,,,,,,,"5500 Brooktree Rd, Wexford, PA, 15090-9260, US",0.0,0.0,0.0,simple,high,False
08f29a418666042303accd68f3ac6f48,ampm,convenience_store,CA,1,standard_commercial,1c,small_urban_storefront,32.7457757,-117.0425875,32.7457757,-117.0425875,1.0,"The current pin is already at the main customer entrance of the ampm convenience store, which is the storefront door facing the street.",gpt-4o-mini,32.7457757,-117.0425875,1.0,32.74557717736126,-117.0425875,0.9,"The primary vehicle entry point is located at the southern edge of the property, where the driveway connects to the road, allowing access to the parking lot.",both,,,,,,"3775 Massachusetts Ave, La Mesa, CA, 91941-7637, US",0.0,0.0,0.0,simple,low,False
08f2664db6a23106036abab19f7b7b37,Winnetka Public School Nursery,day_care_preschool,IL,2,multi_tenant,2b,office_suite,42.1049554,-87.7475761,42.1049554,-87.7475761,1.0,The current pin is already at the correct unit entrance for Winnetka Public School Nursery.,gpt-4o-mini,42.1049554,-87.7475761,1.0,42.10478028267042,-87.7475761,0.9,"The parking lot entrance closest to the Winnetka Public School Nursery is located to the south of the building, accessible from Oak St. This entry point is the most direct access for vehicles to the shared parking area serving the nursery.",both,,,,,,"1155 Oak St, Winnetka, IL, 60093, US",0.0,0.0,0.0,simple,low,False
08f2aae935cb1980034584b589b0861f,Scotlandyard Security Services,professional_services,PA,4,no_building,4,no_building,40.2852895,-76.8730163,40.2852895,-76.8730163,0.3,No dedicated commercial structure is visible at the provided address; it appears to be a residential area.,gpt-4o-mini,,,,,,,,,,,,,,"1006 Hemlock Dr, Harrisburg, PA, 17110-3595, US",0.0,0.0,0.0,simple,high,False
08f29124c9b26b93038448a23359f1bf,Associated Building Supply,building_supply_store,,2,multi_tenant,2c,other_multi_tenant,34.1979476,-119.2032993,34.1979476,-119.2032993,1.0,The current pin is already at the correct unit entrance for Associated Building Supply.,gpt-4o-mini,34.1979476,-119.2032993,1.0,34.19775237667915,-119.2032993,0.9,"The nearest parking lot entrance to the Associated Building Supply unit is located to the south of the building, accessible from W 5th St, making it the most logical entry point for vehicles.",both,,,,,,"2425 W 5th St, 93030, US",0.0,0.0,0.0,simple,low,False
08f2aa84e409a98503beb40c9ebc7e21,Hilton Garden Inn Bethesda Downtown,hotel,MD,1,standard_commercial,1b,large_standalone,38.983291,-77.0918811,38.983291,-77.0918811,1.0,"The current pin is already at the main customer entrance of the Hilton Garden Inn Bethesda Downtown, as it is positioned at the storefront door facing the street.",gpt-4o-mini,38.983291,-77.0918811,1.0,38.9831075243529,-77.0918811,0.8,The identified entry point is the most visible driveway entrance from the road leading to the parking area of the Hilton Garden Inn Bethesda Downtown.,both,38.9835453639653,-77.0919401083284,0.75,claude-haiku-4-5-20251001,28.74,"7301 Waverly St, Bethesda, MD, 20814-3330, US",0.0,0.0,0.0,simple,medium,False
08f446c30b6d00ae034cf09cf05f87af,Luxury Environment and Designs,professional_services,TX,4,no_building,4,no_building,29.9424,-95.39394,29.9424,-95.39394,0.3,No dedicated commercial structure is visible at the provided address; it appears to be a home-based business.,gpt-4o-mini,,,,,,,,,,,,,,"440 Benmar Dr, Houston, TX, 77060-2961, US",0.0,0.0,0.0,simple,high,False
08f28342994800d503a70bdf75cffb5f,Belvedere Legal,bankruptcy_law,CA,4,no_building,4,no_building,37.5488398,-122.317628,37.5488398,-122.317628,0.3,No dedicated commercial structure is visible at the address; the area appears to be residential or a home-based business.,gpt-4o-mini,,,,,,,,,,,,,,"1777 Borel Pl, San Mateo, CA, 94402-3509, US",0.0,0.0,0.0,simple,high,False
08f262568a09eab403665ed04ca891ce,Neil Yamry Construction,construction_services,MN,4,no_building,4,no_building,45.7182047,-94.521765,45.7182047,-94.521765,0.3,No dedicated commercial structure is visible; the location appears to be residential.,gpt-4o-mini,,,,,,,,,,,,,,"20064 410th St, Albany, MN, 56307-4513, US",0.0,0.0,0.0,simple,high,False
